experiment_id,electrolyte_concentration_m,charging_rate_c,operating_temperature_c,discharge_rate_c,cycle_count,capacity_retention_percent,source
BAT-00001,0.9657,1.1289,30.4744,2.4291,485.4922,42.9343,synthetic_prototype_v1
BAT-00002,1.2234,1.0118,24.2541,0.2,55.5427,79.1366,synthetic_prototype_v1
BAT-00003,2.4909,0.5609,16.1268,1.7905,460.4587,52.0209,synthetic_prototype_v1
BAT-00004,1.509,1.1919,29.4258,0.6349,168.7701,66.8766,synthetic_prototype_v1
BAT-00005,0.9458,0.8489,21.9789,0.9964,236.9074,62.3299,synthetic_prototype_v1
BAT-00006,0.9292,1.92,47.817,0.2936,125.5525,40.0,synthetic_prototype_v1
BAT-00007,0.7821,2.8662,14.4104,1.2174,424.1527,40.0,synthetic_prototype_v1
BAT-00008,1.6622,2.6451,38.7351,2.2152,105.2804,40.0,synthetic_prototype_v1
BAT-00009,1.6988,1.9549,15.609,0.5789,121.6152,51.8772,synthetic_prototype_v1
BAT-00010,1.6877,2.7402,7.8214,2.9661,97.4113,41.0848,synthetic_prototype_v1
BAT-00011,1.3586,0.3209,10.3659,0.6644,200.0617,61.9895,synthetic_prototype_v1
BAT-00012,1.6284,0.6817,16.4342,0.3713,152.1595,70.1969,synthetic_prototype_v1
BAT-00013,1.9976,0.9005,47.7352,0.3492,298.7305,41.2961,synthetic_prototype_v1
BAT-00014,1.1953,2.1229,36.0895,2.0264,197.7777,47.9059,synthetic_prototype_v1
BAT-00015,1.191,0.4339,24.7757,0.3113,121.3417,74.4502,synthetic_prototype_v1
BAT-00016,1.5053,0.3653,24.148,0.6745,196.0032,72.1498,synthetic_prototype_v1
BAT-00017,2.1462,2.798,43.8704,2.296,486.3822,40.0,synthetic_prototype_v1
BAT-00018,1.4483,2.8992,43.4425,0.6395,82.06,40.0,synthetic_prototype_v1
BAT-00019,0.5146,2.0141,38.5961,0.3704,425.0553,49.3479,synthetic_prototype_v1
BAT-00020,1.4618,0.221,12.4779,1.8205,146.8978,55.9341,synthetic_prototype_v1
BAT-00021,1.587,1.4678,42.5825,2.9799,126.2598,40.0,synthetic_prototype_v1
BAT-00022,2.0617,0.7925,11.3218,1.2216,282.738,53.6876,synthetic_prototype_v1
BAT-00023,1.4111,0.7167,18.8229,0.5839,47.8205,88.9264,synthetic_prototype_v1
BAT-00024,1.7764,1.1808,15.8585,0.7788,304.3042,60.8044,synthetic_prototype_v1
BAT-00025,1.5144,1.9401,25.3844,2.3617,341.6012,44.4816,synthetic_prototype_v1
BAT-00026,0.9593,0.8853,36.4675,2.1667,68.1318,51.9295,synthetic_prototype_v1
BAT-00027,1.4776,0.7013,32.1877,0.3187,96.5058,66.8381,synthetic_prototype_v1
BAT-00028,0.9544,0.2515,19.3512,0.2011,170.7157,63.4344,synthetic_prototype_v1
BAT-00029,2.0133,2.7652,44.2819,2.1061,283.8647,40.0,synthetic_prototype_v1
BAT-00030,2.2048,0.8157,37.3365,2.799,303.7321,41.9593,synthetic_prototype_v1
BAT-00031,1.959,2.4187,1.2025,0.8512,274.5588,40.0,synthetic_prototype_v1
BAT-00032,1.4399,0.9581,5.7226,2.3306,112.5181,46.961,synthetic_prototype_v1
BAT-00033,1.5055,0.3026,24.8224,0.8966,72.0183,76.3098,synthetic_prototype_v1
