experiment_id,light_intensity_lux,co2_concentration_ppm,nutrient_concentration_mm,temperature_c,water_supply_ml_day,biomass_yield,source
PLT-00001,22463.9214,665.3994,6.2901,34.9029,486.6765,15.2584,synthetic_prototype_v1
PLT-00002,29112.3417,964.7053,4.4508,19.5218,154.0868,58.8972,synthetic_prototype_v1
PLT-00003,79659.8354,503.1019,3.5641,29.2005,463.6865,23.4441,synthetic_prototype_v1
PLT-00004,38633.0888,1036.7713,5.4852,26.3488,326.3893,76.9098,synthetic_prototype_v1
PLT-00005,19860.7678,899.5641,3.9958,29.9638,430.0764,79.0937,synthetic_prototype_v1
PLT-00006,21093.8505,891.4255,9.5852,15.8357,156.1197,11.6072,synthetic_prototype_v1
PLT-00007,15577.0475,1161.7606,3.238,24.0841,430.3443,28.6418,synthetic_prototype_v1
PLT-00008,48583.7457,1098.5919,7.8597,32.9928,137.5024,20.3541,synthetic_prototype_v1
PLT-00009,49953.7094,901.4129,3.4657,18.3831,152.5037,36.0808,synthetic_prototype_v1
PLT-00010,49537.2911,1125.7579,1.9861,39.6974,130.2756,16.0181,synthetic_prototype_v1
PLT-00011,33618.8931,688.3708,1.6732,26.6441,374.0069,93.1659,synthetic_prototype_v1
PLT-00012,42612.4875,832.6814,2.8868,23.713,301.1123,128.441,synthetic_prototype_v1
PLT-00013,61161.5585,600.1368,9.5697,16.3323,315.1607,13.9972,synthetic_prototype_v1
PLT-00014,31075.5226,949.4032,7.357,31.3073,222.449,33.3408,synthetic_prototype_v1
PLT-00015,28033.6948,733.568,4.5551,23.1128,254.2156,129.5553,synthetic_prototype_v1
PLT-00016,38511.4398,706.128,4.4296,26.745,367.831,159.4002,synthetic_prototype_v1
PLT-00017,66733.0717,1142.2866,8.8354,33.7145,487.4938,12.7409,synthetic_prototype_v1
PLT-00018,40562.6547,1171.211,8.7541,18.9241,116.1775,19.5753,synthetic_prototype_v1
PLT-00019,5548.5842,918.302,7.8333,16.5216,431.1732,13.3588,synthetic_prototype_v1
PLT-00020,41068.2821,405.9864,2.8708,29.4686,175.7225,33.5907,synthetic_prototype_v1
PLT-00021,45762.1696,762.2174,8.5907,39.8204,156.7692,10.0,synthetic_prototype_v1
PLT-00022,63562.8766,569.2821,2.6511,24.1217,300.4737,30.2915,synthetic_prototype_v1
PLT-00023,35371.0814,846.6904,3.3646,25.8389,142.3356,155.9474,synthetic_prototype_v1
PLT-00024,52866.7665,680.2383,3.5131,20.1676,320.2794,55.0068,synthetic_prototype_v1
PLT-00025,43039.2589,897.1844,5.323,34.3006,354.5317,29.4429,synthetic_prototype_v1
PLT-00026,22224.2022,595.812,7.4288,32.5594,103.3864,28.91,synthetic_prototype_v1
PLT-00027,37586.2966,840.5356,6.0375,23.187,216.4218,94.4508,synthetic_prototype_v1
PLT-00028,20146.7895,660.6122,3.4702,22.0111,329.35,69.1782,synthetic_prototype_v1
PLT-00029,61748.7071,1132.9054,8.9136,32.0188,301.5084,18.0024,synthetic_prototype_v1
PLT-00030,68928.6738,575.912,7.5939,38.2058,319.754,13.9171,synthetic_prototype_v1
PLT-00031,59712.1316,1033.9165,0.7285,20.8141,292.9622,20.642,synthetic_prototype_v1
PLT-00032,40246.6955,616.5928,1.5873,34.0233,144.1493,20.8178,synthetic_prototype_v1
PLT-00033,38516.0445,681.0569,4.5645,28.9662,179.1583,113.3887,synthetic_prototype_v1
PLT-00034,21630.3491,1137.5371,1.8808,22.5214,326.2127,31.877,synthetic_prototype_v1
PLT-00035,5646.2943,528.4982,8.0112,16.2291,277.0724,13.1939,synthetic_prototype_v1
PLT-00036,6620.906,426.3488,2.4359,37.6082,289.7639,15.6322,synthetic_prototype_v1
