experiment_id,cell_thickness_nm,doping_concentration,annealing_temperature_c,light_intensity_lux,operating_temperature_c,energy_conversion_efficiency,source
SOL-00001,108.2131,9891176176907610.0,743.7956,99611.7101,73.2235,8.0,synthetic_prototype_v1
SOL-00002,126.4494,1.5355789215419626e+17,718.784,46044.8217,29.761,16.5768,synthetic_prototype_v1
SOL-00003,298.8661,2435747211386149.0,629.0146,76802.0382,70.1582,8.3187,synthetic_prototype_v1
SOL-00004,164.5324,3.0658243417626016e+17,761.8819,88551.4631,43.7431,17.6857,synthetic_prototype_v1
SOL-00005,89.4431,8.219592891097579e+16,699.8242,97946.7033,15.0,19.4461,synthetic_prototype_v1
SOL-00006,103.6462,6.963788161670654e+16,882.536,23342.8313,29.1493,12.7185,synthetic_prototype_v1
SOL-00007,85.2568,7.187902478798674e+17,615.2834,56336.4084,65.7126,8.0,synthetic_prototype_v1
SOL-00008,195.2792,4.1660052130843437e+17,809.881,91971.1948,26.667,15.1326,synthetic_prototype_v1
SOL-00009,199.8457,7.590986044066539e+16,624.872,33532.5643,28.6672,15.0877,synthetic_prototype_v1
SOL-00010,198.4576,5.267349309833719e+17,562.5715,118789.4174,25.7034,11.8697,synthetic_prototype_v1
SOL-00011,144.4756,1.0836232322878002e+16,603.0489,59089.9858,37.1876,18.2916,synthetic_prototype_v1
SOL-00012,180.4499,4.3268552077878824e+16,653.6181,59426.0863,15.0,18.3594,synthetic_prototype_v1
SOL-00013,237.2052,5630061753054829.0,881.882,25329.1845,50.3548,9.5085,synthetic_prototype_v1
SOL-00014,136.9184,1.1488461564678293e+17,788.7159,85229.2045,37.9932,13.2079,synthetic_prototype_v1
SOL-00015,122.1348,1.6718603894460986e+16,723.1304,85743.2745,30.5115,19.6122,synthetic_prototype_v1
SOL-00016,164.0458,1.2848917451771e+16,717.8997,57783.8849,39.443,21.2852,synthetic_prototype_v1
SOL-00017,255.7769,6.075397195720256e+17,850.9631,94858.0763,73.3325,9.4209,synthetic_prototype_v1
SOL-00018,168.5422,7.799039269237979e+17,847.5398,35696.5431,23.8237,12.9831,synthetic_prototype_v1
SOL-00019,51.8286,8.782788866142867e+16,808.7689,26086.2583,65.8231,8.0,synthetic_prototype_v1
SOL-00020,170.2276,1053049989947335.4,599.8229,77874.4799,31.763,13.6966,synthetic_prototype_v1
SOL-00021,185.8739,2.28199787327532e+16,840.6598,119281.7753,29.2359,14.229,synthetic_prototype_v1
SOL-00022,245.2096,4313280920950785.0,590.5741,56486.8226,48.3965,11.9658,synthetic_prototype_v1
SOL-00023,151.4843,4.949293919090059e+16,673.524,52336.3316,21.1187,23.0,synthetic_prototype_v1
SOL-00024,209.5559,1.1243292954149158e+16,626.8679,40670.4,51.0373,14.9556,synthetic_prototype_v1
SOL-00025,176.7975,7.318830219357062e+16,703.0751,97202.516,55.6042,12.1238,synthetic_prototype_v1
SOL-00026,107.414,5423693395895766.0,791.7402,90237.766,22.1182,13.4457,synthetic_prototype_v1
SOL-00027,160.3452,4.665502616434794e+16,784.8975,61907.0694,40.407,16.8148,synthetic_prototype_v1
SOL-00028,90.5872,8302663436777177.0,677.9264,70402.3095,15.0,15.1982,synthetic_prototype_v1
SOL-00029,239.1624,5.6026702666087366e+17,854.2555,88075.2098,48.5345,9.5895,synthetic_prototype_v1
SOL-00030,263.0956,4567411364999633.0,798.6922,112823.1796,50.9672,12.2788,synthetic_prototype_v1
SOL-00031,232.3738,2.383345151228274e+17,509.6202,43256.2234,47.395,12.797,synthetic_prototype_v1
SOL-00032,167.489,6489678047163606.0,545.7811,96093.0552,27.5532,12.838,synthetic_prototype_v1
SOL-00033,164.0642,1.01019162345113e+16,723.5202,53665.498,19.8823,19.8261,synthetic_prototype_v1
SOL-00034,105.4345,5.831280898611244e+17,558.1401,50085.7748,51.8284,12.0466,synthetic_prototype_v1
SOL-00035,52.1543,3032971465393901.5,816.2598,24916.5526,45.2763,11.9056,synthetic_prototype_v1
SOL-00036,55.403,1255474927646335.0,581.5124,110432.6184,46.9685,13.2609,synthetic_prototype_v1
SOL-00037,101.0993,7.948622851145696e+17,554.5881,108925.24,26.133,10.8348,synthetic_prototype_v1
SOL-00038,233.5366,2.9355345862559684e+16,868.9333,89333.3868,61.7999,8.78,synthetic_prototype_v1
SOL-00039,201.5491,4.444364856726519e+16,817.3593,108821.1188,17.2829,11.8869,synthetic_prototype_v1
SOL-00040,182.1639,9.201577959677413e+16,677.0247,45156.3386,22.6743,18.4543,synthetic_prototype_v1
SOL-00041,268.1329,3.3352356985821376e+16,538.0632,24392.8144,22.5897,11.9066,synthetic_prototype_v1
SOL-00042,280.4631,2688996353157385.0,658.3067,22364.3119,55.5516,8.0279,synthetic_prototype_v1
SOL-00043,178.4201,5.7052220502065464e+16,759.7576,41880.6905,29.7544,18.9384,synthetic_prototype_v1
SOL-00044,190.3723,1387047455224765.2,852.5555,47936.5593,25.3641,12.9742,synthetic_prototype_v1
SOL-00045,212.4855,6.766110805764098e+16,671.9687,57505.912,19.5699,17.5511,synthetic_prototype_v1
SOL-00046,132.0591,2.98406993612482e+16,707.4187,64922.6718,31.9342,22.0096,synthetic_prototype_v1
SOL-00047,223.2316,5.4728141910051264e+17,629.972,57556.341,50.138,13.567,synthetic_prototype_v1
SOL-00048,237.152,2544861116043462.0,831.6153,64401.8018,20.2119,9.3317,synthetic_prototype_v1
