experiment_id,coagulant_dose_mg_l,ph,contact_time_min,temperature_c,mixing_speed_rpm,turbidity_removal_percent,source
WAT-00001,27.121,5.9905,75.0912,32.8641,292.598,30.0,synthetic_prototype_v1
WAT-00002,32.9348,7.898,44.9715,20.3415,79.7421,57.3304,synthetic_prototype_v1
WAT-00003,99.5691,4.7733,42.0917,24.8807,279.8259,30.0,synthetic_prototype_v1
WAT-00004,44.3597,8.3785,57.8522,21.6864,160.5182,47.7513,synthetic_prototype_v1
WAT-00005,21.8329,7.4638,25.1256,23.8646,100.5265,56.2408,synthetic_prototype_v1
WAT-00006,25.3855,7.6857,114.9791,6.17,108.9554,60.8661,synthetic_prototype_v1
WAT-00007,18.3976,9.7132,38.144,17.7177,261.3024,32.801,synthetic_prototype_v1
WAT-00008,60.2061,9.2394,94.0908,30.1899,98.6125,33.3729,synthetic_prototype_v1
WAT-00009,61.9414,7.7606,40.9007,9.7364,106.9465,50.9176,synthetic_prototype_v1
WAT-00010,61.4139,9.4432,22.9893,39.5763,94.5976,31.0988,synthetic_prototype_v1
WAT-00011,38.3427,6.0558,120.0,20.5882,158.8435,65.1143,synthetic_prototype_v1
WAT-00012,49.135,7.0179,73.1703,17.6019,80.3436,73.0429,synthetic_prototype_v1
WAT-00013,76.138,5.501,114.7911,6.8652,197.3115,33.7144,synthetic_prototype_v1
WAT-00014,38.029,8.1205,88.0058,27.8302,145.805,62.9953,synthetic_prototype_v1
WAT-00015,31.6404,6.3571,37.4438,8.9084,146.6081,66.4907,synthetic_prototype_v1
WAT-00016,44.2137,6.1742,28.3395,18.3463,110.2462,72.7765,synthetic_prototype_v1
WAT-00017,83.1952,9.5671,105.9019,31.2003,293.0521,30.0,synthetic_prototype_v1
WAT-00018,50.046,9.7841,104.9177,10.4938,86.7653,30.4377,synthetic_prototype_v1
WAT-00019,5.6949,7.8873,93.771,7.1302,261.7629,30.0,synthetic_prototype_v1
WAT-00020,50.6865,4.0449,33.6991,25.2561,119.8458,30.0,synthetic_prototype_v1
WAT-00021,56.6321,6.7166,102.9397,39.7486,109.3162,70.9887,synthetic_prototype_v1
WAT-00022,79.1796,5.2696,31.04,17.7704,189.1521,36.2531,synthetic_prototype_v1
WAT-00023,40.4453,7.1113,49.2323,20.6847,95.5268,79.3423,synthetic_prototype_v1
WAT-00024,65.6312,6.1018,41.4745,12.2346,200.1552,39.3449,synthetic_prototype_v1
WAT-00025,53.1831,7.7289,63.3841,32.0209,219.1843,40.7219,synthetic_prototype_v1
WAT-00026,26.8173,5.4686,88.8753,29.5832,79.6591,52.505,synthetic_prototype_v1
WAT-00027,43.1036,7.0702,55.3098,26.2963,112.7785,81.6955,synthetic_prototype_v1
WAT-00028,22.1761,5.8707,61.886,20.6033,128.5559,58.0629,synthetic_prototype_v1
WAT-00029,76.8817,9.4968,106.8485,28.8263,189.7269,30.6283,synthetic_prototype_v1
WAT-00030,85.9763,5.3193,90.874,37.4881,199.8633,35.6358,synthetic_prototype_v1
WAT-00031,74.302,8.7544,7.7658,13.1397,184.979,33.7301,synthetic_prototype_v1
WAT-00032,49.6458,5.6244,18.1621,31.6326,102.3052,54.9988,synthetic_prototype_v1
WAT-00033,44.2193,6.007,5.0,6.8419,71.6794,48.3015,synthetic_prototype_v1
WAT-00034,26.0651,9.5315,21.7153,15.53,203.4515,30.0,synthetic_prototype_v1
WAT-00035,5.8186,4.9637,95.9247,6.7208,176.1513,37.8781,synthetic_prototype_v1
WAT-00036,7.0531,4.1976,28.4348,36.6514,183.2022,30.0,synthetic_prototype_v1
WAT-00037,24.4177,9.8006,20.6941,36.1238,96.3875,31.1683,synthetic_prototype_v1
WAT-00038,74.7439,6.9354,111.0683,29.2667,244.9995,30.0,synthetic_prototype_v1
WAT-00039,62.5887,7.2956,96.2408,36.0874,59.5123,47.9748,synthetic_prototype_v1
WAT-00040,49.6492,7.5422,12.4518,13.2414,74.344,48.8003,synthetic_prototype_v1
WAT-00041,87.8905,7.0463,15.9432,6.5375,81.6236,32.9189,synthetic_prototype_v1
WAT-00042,92.576,4.8592,50.5132,5.8275,218.9649,30.1678,synthetic_prototype_v1
WAT-00043,48.526,7.21,5.1132,9.067,97.2363,60.6383,synthetic_prototype_v1
WAT-00044,58.3415,4.2842,106.3597,14.7778,93.1837,30.0,synthetic_prototype_v1
WAT-00045,58.7457,7.3285,35.1571,18.1806,107.8777,55.1979,synthetic_prototype_v1
WAT-00046,34.6177,6.7597,28.8557,13.8717,91.171,74.8276,synthetic_prototype_v1
WAT-00047,70.828,9.4764,42.367,18.1447,196.4082,30.4854,synthetic_prototype_v1
WAT-00048,76.1178,4.8113,100.3394,20.5406,71.7163,30.0,synthetic_prototype_v1
WAT-00049,90.7472,7.8568,37.4032,17.6761,245.5354,30.0,synthetic_prototype_v1
WAT-00050,30.1117,5.7882,36.9445,21.0932,112.5366,62.386,synthetic_prototype_v1
WAT-00051,69.1,4.4976,110.7744,11.4482,55.3256,32.5901,synthetic_prototype_v1
WAT-00052,31.5442,7.9837,116.543,17.3439,72.2276,50.2978,synthetic_prototype_v1
WAT-00053,39.8073,6.7375,17.6685,9.4403,203.67,45.1619,synthetic_prototype_v1
WAT-00054,55.2225,7.6816,43.7864,38.2404,227.3536,32.8842,synthetic_prototype_v1
WAT-00055,10.5203,5.1314,75.8753,31.4932,286.0553,30.5637,synthetic_prototype_v1
WAT-00056,60.194,7.3858,103.4582,29.2803,126.5978,62.0105,synthetic_prototype_v1
WAT-00057,37.2065,7.5617,100.7384,25.1902,133.6919,77.6198,synthetic_prototype_v1
WAT-00058,97.7103,5.0342,34.5109,18.3283,166.621,31.3841,synthetic_prototype_v1
WAT-00059,36.0039,7.2465,69.3814,21.0999,148.4335,74.9195,synthetic_prototype_v1
WAT-00060,35.8076,7.0766,6.6411,34.5889,134.1261,69.0675,synthetic_prototype_v1
WAT-00061,24.8936,8.2382,34.9907,11.7146,163.4242,47.7071,synthetic_prototype_v1
WAT-00062,74.8373,6.9063,18.4143,17.7133,290.4563,30.2245,synthetic_prototype_v1
WAT-00063,16.6175,7.0253,28.1789,23.261,87.3396,51.4467,synthetic_prototype_v1
WAT-00064,55.2704,7.0658,33.0649,11.9506,139.399,62.8272,synthetic_prototype_v1
WAT-00065,62.9996,6.6526,92.6565,10.2485,283.4466,34.9718,synthetic_prototype_v1
WAT-00066,40.2367,7.3583,117.6115,13.5705,164.2728,64.3013,synthetic_prototype_v1
WAT-00067,42.4574,7.1282,65.0473,21.8364,135.567,84.6452,synthetic_prototype_v1
WAT-00068,79.2905,6.5002,88.5936,33.8859,79.9784,39.0968,synthetic_prototype_v1
WAT-00069,98.7947,7.8626,23.7401,12.5719,237.7077,33.5084,synthetic_prototype_v1
WAT-00070,47.1243,5.6268,51.5455,24.3925,127.4181,61.3536,synthetic_prototype_v1
WAT-00071,43.1202,4.1693,89.967,37.0845,154.3129,30.0,synthetic_prototype_v1
WAT-00072,59.0343,8.1221,99.2033,20.472,101.0971,50.2772,synthetic_prototype_v1
WAT-00073,30.9203,7.5659,17.8815,26.2638,110.1005,64.4219,synthetic_prototype_v1
WAT-00074,17.1708,7.9963,13.3906,38.0778,211.7969,33.879,synthetic_prototype_v1
WAT-00075,70.0334,6.9902,88.8627,33.8825,107.1417,49.4093,synthetic_prototype_v1
WAT-00076,40.1611,8.218,14.4138,17.7619,124.7231,58.1532,synthetic_prototype_v1
WAT-00077,37.8419,6.345,16.8486,31.5845,79.5257,65.3012,synthetic_prototype_v1
WAT-00078,23.5368,6.8834,77.2466,18.0901,163.2315,61.619,synthetic_prototype_v1
WAT-00079,70.1792,7.2937,6.0851,37.3607,292.1951,30.0,synthetic_prototype_v1
WAT-00080,43.1579,8.1965,75.9519,22.1934,162.8176,55.6543,synthetic_prototype_v1
WAT-00081,46.4432,6.4001,62.3163,13.8455,60.5816,57.7713,synthetic_prototype_v1
WAT-00082,20.7612,8.6614,110.117,19.0094,144.2204,39.1373,synthetic_prototype_v1
WAT-00083,49.5555,7.7021,106.8871,24.6188,76.8811,59.1322,synthetic_prototype_v1
WAT-00084,21.4297,5.5103,103.2269,31.0823,211.3706,38.391,synthetic_prototype_v1
WAT-00085,48.7208,7.5621,33.7722,15.8737,139.4272,66.7539,synthetic_prototype_v1
WAT-00086,73.8924,8.1517,104.0423,19.942,91.393,40.9626,synthetic_prototype_v1
WAT-00087,34.5013,7.7579,93.8576,25.996,183.4108,51.0709,synthetic_prototype_v1
WAT-00088,56.8508,8.6514,116.2685,20.3224,67.5502,39.6447,synthetic_prototype_v1
WAT-00089,52.3098,5.7202,24.8219,18.4102,212.2559,45.1624,synthetic_prototype_v1
WAT-00090,56.8224,4.7972,32.5737,18.9709,169.8963,30.0,synthetic_prototype_v1
WAT-00091,39.3519,8.7788,6.4415,6.7167,223.8853,33.4741,synthetic_prototype_v1
WAT-00092,19.2623,8.2878,107.7382,31.0569,151.3544,43.5567,synthetic_prototype_v1
WAT-00093,27.3445,7.1273,27.631,17.1848,151.3664,63.4941,synthetic_prototype_v1
WAT-00094,35.2479,9.6672,48.4717,20.3271,175.4192,30.5981,synthetic_prototype_v1
WAT-00095,37.2749,8.3789,68.6942,6.2304,240.9446,30.1711,synthetic_prototype_v1
WAT-00096,18.1098,8.3816,66.1224,23.7372,296.515,30.0,synthetic_prototype_v1
WAT-00097,52.1597,5.307,116.4321,26.322,73.661,47.5054,synthetic_prototype_v1
WAT-00098,38.8429,7.0866,65.0912,18.4996,108.5302,84.96,synthetic_prototype_v1
WAT-00099,33.7816,6.6282,94.4002,17.1457,70.708,63.1138,synthetic_prototype_v1
WAT-00100,35.9534,9.3266,51.6836,8.1541,120.7125,32.2008,synthetic_prototype_v1
WAT-00101,33.6276,9.2969,19.9553,37.8879,102.0133,35.5061,synthetic_prototype_v1
WAT-00102,84.4809,9.5583,10.2078,34.7007,283.5581,30.0,synthetic_prototype_v1
WAT-00103,8.7547,6.8854,90.5343,28.1146,251.703,30.0,synthetic_prototype_v1
WAT-00104,83.83,6.6716,54.2029,22.8601,93.6039,36.3018,synthetic_prototype_v1
WAT-00105,37.8534,7.6063,70.777,13.4792,93.9196,70.9147,synthetic_prototype_v1
WAT-00106,7.755,5.6716,77.1195,13.2986,75.3603,41.2671,synthetic_prototype_v1
WAT-00107,40.1937,7.7809,51.5781,29.2612,173.5927,52.2997,synthetic_prototype_v1
WAT-00108,78.3412,5.2998,32.3684,31.8911,157.7845,38.2149,synthetic_prototype_v1
WAT-00109,14.8434,6.0541,8.7952,22.0969,79.4146,40.1065,synthetic_prototype_v1
WAT-00110,15.4495,6.1619,5.0,24.6618,122.91,46.5272,synthetic_prototype_v1
WAT-00111,13.2068,4.912,32.6001,12.8255,167.0168,35.2051,synthetic_prototype_v1
WAT-00112,77.4868,4.0098,119.9149,16.2325,165.4337,30.0,synthetic_prototype_v1
WAT-00113,27.8481,6.6311,46.7684,28.2425,88.1785,68.4473,synthetic_prototype_v1
WAT-00114,54.2969,4.0846,112.6919,6.2,162.3858,30.0,synthetic_prototype_v1
WAT-00115,39.2721,7.9158,101.3677,17.7693,151.2796,65.8569,synthetic_prototype_v1
WAT-00116,35.6312,7.1189,24.9605,17.5748,143.1238,75.3809,synthetic_prototype_v1
WAT-00117,46.1324,6.6042,6.0735,17.7989,187.5939,46.1147,synthetic_prototype_v1
WAT-00118,52.897,8.7546,37.6943,15.4342,251.5127,30.0,synthetic_prototype_v1
WAT-00119,17.998,9.7581,78.2675,20.6841,291.0289,33.4771,synthetic_prototype_v1
WAT-00120,34.8719,6.3065,49.6936,23.1173,128.8675,79.5613,synthetic_prototype_v1
WAT-00121,75.6795,8.5962,88.2065,28.6065,152.2193,37.5942,synthetic_prototype_v1
WAT-00122,90.5264,7.81,52.9936,30.8856,214.2302,32.368,synthetic_prototype_v1
WAT-00123,93.3503,9.4462,96.8538,39.4064,239.0809,32.1579,synthetic_prototype_v1
WAT-00124,34.3822,6.2207,34.0267,22.2718,130.1473,73.6434,synthetic_prototype_v1
WAT-00125,53.6908,6.1759,60.3868,5.0,135.9365,66.8743,synthetic_prototype_v1
WAT-00126,5.3699,4.3257,48.5769,31.7199,148.6107,30.0,synthetic_prototype_v1
WAT-00127,72.4516,8.3813,49.0024,25.9221,147.0342,38.5491,synthetic_prototype_v1
WAT-00128,61.9069,6.6927,30.5169,27.195,137.4374,57.0468,synthetic_prototype_v1
WAT-00129,67.0276,4.5133,104.9122,24.267,160.7404,31.6479,synthetic_prototype_v1
WAT-00130,14.197,9.7231,85.4209,10.9915,144.268,30.9457,synthetic_prototype_v1
WAT-00131,32.9109,7.7749,16.6702,21.1982,80.1625,53.5166,synthetic_prototype_v1
WAT-00132,31.9084,6.1926,7.5336,15.9858,65.4222,51.4103,synthetic_prototype_v1
WAT-00133,66.8768,5.2921,29.593,33.6917,123.7982,43.9887,synthetic_prototype_v1
WAT-00134,59.4933,5.4046,6.4529,17.3416,60.743,39.5418,synthetic_prototype_v1
WAT-00135,40.2966,7.6192,6.7222,9.8338,276.0777,30.7686,synthetic_prototype_v1
WAT-00136,73.9416,7.6552,11.351,30.3532,259.6254,30.0,synthetic_prototype_v1
WAT-00137,32.6415,6.9218,15.6043,9.3274,160.7295,62.895,synthetic_prototype_v1
WAT-00138,37.3653,7.0143,24.563,20.8351,103.0154,75.7373,synthetic_prototype_v1
WAT-00139,63.934,9.5908,50.5569,32.8514,277.2623,30.0,synthetic_prototype_v1
WAT-00140,55.5032,9.2631,87.1444,29.4497,243.0705,30.6857,synthetic_prototype_v1
WAT-00141,86.0949,8.4509,82.1972,36.4142,82.6986,30.3182,synthetic_prototype_v1
WAT-00142,47.3769,9.4311,85.4938,18.661,72.4625,31.0617,synthetic_prototype_v1
WAT-00143,98.178,9.1131,84.5638,20.0957,116.3812,30.0,synthetic_prototype_v1
WAT-00144,9.6516,9.515,36.1346,16.2523,234.6576,30.0,synthetic_prototype_v1
WAT-00145,79.2229,5.4691,108.1876,14.0701,198.6269,33.8456,synthetic_prototype_v1
WAT-00146,71.6902,9.2489,67.7487,31.0002,122.9086,30.0,synthetic_prototype_v1
WAT-00147,52.367,9.171,71.4292,39.558,137.5027,33.2185,synthetic_prototype_v1
WAT-00148,19.471,5.3203,26.3905,12.4373,93.1702,40.5893,synthetic_prototype_v1
WAT-00149,6.3418,7.4016,40.8095,16.4392,177.3285,37.2198,synthetic_prototype_v1
WAT-00150,29.0261,5.5831,17.2104,11.2528,115.8376,51.8509,synthetic_prototype_v1
WAT-00151,56.9919,8.971,18.2916,19.1399,182.8473,37.927,synthetic_prototype_v1
